Overlap,Interpolation,Completion Time (ms),Labels_Detected
FALSE,0,15478,219
FALSE,1,2837,219
FALSE,2,1461,219
FALSE,3,989,219
FALSE,4,776,219
FALSE,5,638,219
FALSE,6,570,219
FALSE,7,494,219
FALSE,8,450,219
FALSE,9,410,219
FALSE,10,380,219
FALSE,11,361,219
FALSE,12,359,219
FALSE,13,329,219
FALSE,14,313,219
FALSE,15,294,219
FALSE,16,290,219
FALSE,17,286,219
FALSE,18,282,219
FALSE,19,279,219
FALSE,20,252,219
FALSE,21,255,219
FALSE,22,240,219
FALSE,23,238,219
FALSE,24,236,219
FALSE,25,224,219
FALSE,26,231,219
FALSE,27,222,219
FALSE,28,216,219
FALSE,29,221,219
FALSE,30,218,219
FALSE,31,222,219
FALSE,32,212,219
FALSE,33,199,219
FALSE,34,196,219
FALSE,35,191,219
FALSE,36,195,219
FALSE,37,189,219
FALSE,38,187,219
FALSE,39,188,219
FALSE,40,194,219
FALSE,41,185,219
FALSE,42,192,219
FALSE,43,181,219
FALSE,44,185,219
FALSE,45,177,219
FALSE,46,182,219
FALSE,47,178,219
FALSE,48,178,219
FALSE,49,175,219
TRUE,0,17013,287
TRUE,1,2875,287
TRUE,2,1393,287
TRUE,3,949,287
TRUE,4,766,287
TRUE,5,608,287
TRUE,6,542,287
TRUE,7,467,287
TRUE,8,428,287
TRUE,9,386,287
TRUE,10,356,287
TRUE,11,338,287
TRUE,12,322,287
TRUE,13,294,287
TRUE,14,289,287
TRUE,15,275,287
TRUE,16,267,287
TRUE,17,251,287
TRUE,18,243,287
TRUE,19,234,287
TRUE,20,232,287
TRUE,21,222,287
TRUE,22,212,287
TRUE,23,211,287
TRUE,24,203,287
TRUE,25,202,287
TRUE,26,202,287
TRUE,27,193,287
TRUE,28,193,287
TRUE,29,186,287
TRUE,30,192,287
TRUE,31,206,287
TRUE,32,199,287
TRUE,33,189,287
TRUE,34,195,287
TRUE,35,182,287
TRUE,36,189,287
TRUE,37,187,287
TRUE,38,191,287
TRUE,39,167,287
TRUE,40,162,287
TRUE,41,162,287
TRUE,42,165,287
TRUE,43,175,287
TRUE,44,168,287
TRUE,45,155,287
TRUE,46,158,287
TRUE,47,154,287
TRUE,48,156,287
TRUE,49,160,287